x,y,bag,class
1.5740102589113107,0.24211595133429045,1,-1
0.7646096265661919,2.1477935442212037,3,1
3.000612683855275,2.0821675251228786,5,1
3.5135468655898414,-0.009467328305965842,2,-1
2.143254096911451,1.730018087329533,4,1
-0.29421997633131763,0.3308489540081198,0,1
1.4901606630100923,1.6888141352830432,4,1
1.7476311368345863,1.8329513077823274,4,1
3.3623164866786874,-0.044201196136060744,2,-1
1.809486801862794,0.10785171317572377,1,-1
1.8742129273016892,2.0883295704540035,4,1
3.2778791006681627,-0.024305306288180846,2,-1
0.1734478453257669,1.7887032062970025,3,-1
2.2519820816376988,1.93684281996273,4,1
1.0975710564683743,0.23903770704630076,1,1
3.5822305004625163,2.2492964839318423,5,1
0.6159536848460387,2.072197613166122,3,1
1.001301526152016,0.2842096271216304,0,-1
-0.029479935454037105,-0.10755670419407214,0,1
0.7623456030818954,1.8797116759785368,3,1
3.437964552067525,0.3411172932911022,2,-1
0.9687937174036361,-0.21752324593343733,1,1
2.5571231039070166,0.0014827542601277646,2,1
0.2295973889376719,2.0804053895292163,3,-1
0.8443044685062865,-0.25767169388393735,0,-1
0.7189016967083411,2.111004658228996,4,-1
2.1231891041154074,0.1235406424853009,2,1
1.6407742502325329,1.9082644054825961,4,1
3.3242213703730865,0.19568511619895515,2,-1
2.5604331181471296,-0.04963871148774204,1,-1
1.898819464268105,-0.25265599367593444,1,-1
3.583190614758881,1.9568302179479455,5,1
3.4134451129377843,1.7259409724722439,5,1
0.6628911690571797,0.07259693704188959,1,1
0.7524372315747309,2.211847568294278,4,-1
3.2441173752493184,-0.23532987623982743,2,-1
0.6292266213612958,0.1820395487242881,0,-1
3.2492598539015587,2.0096811815312736,5,1
2.5311156309245155,2.2059033272783815,5,-1
0.7660676798528236,1.863463578556993,4,-1
2.412331186057286,1.9393210661847164,5,-1
3.588079077601749,2.166190029542383,5,1
2.485371141978861,0.09668379366337831,1,-1
0.7925630477373922,-0.08616979166179012,0,-1
